#TYPE System.Diagnostics.EventLogEntry#system/Microsoft-Windows-WindowsUpdateClient/19
"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"19","idea-PC","System.Byte[]","8595","(1)","1","Information","インストールの成功: 次の更新プログラムが正しくインストールされました: Windows 8、8.1、10 と Windows Server 2012、2012 R2 x64 エディション用の、Windows 悪意のあるソフトウェア削除ツール - 2015 年 11 月 (KB890830)","Microsoft-Windows-WindowsUpdateClient","System.String[]","19","2015/11/14 21:49:19","2015/11/14 21:49:19","NT AUTHORITY\SYSTEM",,
"16","idea-PC","System.Byte[]","8594","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '16' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'71', '\??\c:\users\administrator\AppData\Local\Microsoft\Windows\usrclass.dat', '1', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","2015/11/14 21:46:54","2015/11/14 21:46:54","NT AUTHORITY\SYSTEM",,
"43","idea-PC","System.Byte[]","8593","(1)","1","Information","インストールの開始: 次の更新プログラムのインストールが開始されました: Windows 8、8.1、10 と Windows Server 2012、2012 R2 x64 エディション用の、Windows 悪意のあるソフトウェア削除ツール - 2015 年 11 月 (KB890830)","Microsoft-Windows-WindowsUpdateClient","System.String[]","43","2015/11/14 21:41:47","2015/11/14 21:41:47","NT AUTHORITY\SYSTEM",,
"11","idea-PC","System.Byte[]","8592","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '11' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'79', '\??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\WINDOWS\System32\config\DRIVERS', '{3AB3BC35-8A83-11E5-BEDF-208984A0061D}', '{3AB3BC34-8A83-11E5-BEDF-208984A0061D}', '0xc00000a2', '7'","Microsoft-Windows-Kernel-General","System.String[]","11","2015/11/14 17:30:18","2015/11/14 17:30:18","NT AUTHORITY\SYSTEM",,
"16","idea-PC","System.Byte[]","8591","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '16' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'171', '\??\Volume{00e49340-0714-4228-afbd-56c32c222403}\System Volume Information\SPP\SppCbsHiveStore\{cd42efe1-f6f1-427c-b004-033192c625a4}{E6FC26DC-B760-41A2-9F4C-BD870A11C2D4}', '67', '7'","Microsoft-Windows-Kernel-General","System.String[]","16","2015/11/14 17:29:56","2015/11/14 17:29:56","NT AUTHORITY\SYSTEM",,
"11","idea-PC","System.Byte[]","8590","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '11' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'79', '\??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\WINDOWS\System32\config\DRIVERS', '{3AB3BC11-8A83-11E5-BEDF-208984A0061D}', '{3AB3BC10-8A83-11E5-BEDF-208984A0061D}', '0xc00000a2', '7'","Microsoft-Windows-Kernel-General","System.String[]","11","2015/11/14 17:29:47","2015/11/14 17:29:47","NT AUTHORITY\SYSTEM",,
"11","idea-PC","System.Byte[]","8589","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '11' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'78', '\??\GLOBALROOT\Device\HarddiskVolumeShadowCopy3\WINDOWS\System32\config\SYSTEM', '{3AB3BC0F-8A83-11E5-BEDF-208984A0061D}', '{3AB3BC0E-8A83-11E5-BEDF-208984A0061D}', '0xc00000a2', '7'","Microsoft-Windows-Kernel-General","System.String[]","11","2015/11/14 17:29:46","2015/11/14 17:29:46","NT AUTHORITY\SYSTEM",,
"7040","idea-PC","System.Byte[]","8588","(0)","0","Information","Windows Modules Installer サービスの開始の種類は 自動的な開始 から 要求による開始 に変更されました。","Service Control Manager","System.String[]","1073748864","2015/11/14 17:03:47","2015/11/14 17:03:47","NT AUTHORITY\SYSTEM",,
"1","idea-PC","System.Byte[]","8587","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '1' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'2015-11-14T08:01:32.528000000Z', '2015-11-14T08:01:32.531147800Z', '1'","Microsoft-Windows-Kernel-General","System.String[]","1","2015/11/14 17:01:32","2015/11/14 17:01:32","NT AUTHORITY\LOCAL SERVICE",,
"1","idea-PC","System.Byte[]","8586","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '1' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'2015-11-14T08:01:32.530000000Z', '2015-11-14T08:01:32.533000800Z', '1'","Microsoft-Windows-Kernel-General","System.String[]","1","2015/11/14 17:01:32","2015/11/14 17:01:32","NT AUTHORITY\LOCAL SERVICE",,
"35","idea-PC","System.Byte[]","8585","(0)","0","Information","システム時刻とタイム ソース time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->191.233.81.105:123) の同期をとっています。","Microsoft-Windows-Time-Service","System.String[]","35","2015/11/14 17:01:32","2015/11/14 17:01:32","NT AUTHORITY\LOCAL SERVICE",,
"1","idea-PC","System.Byte[]","8584","(0)","0","Information","ソース 'Microsoft-Windows-Kernel-General' のイベント ID '1' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'2015-11-14T08:01:32.517839900Z', '2015-11-14T08:01:40.103733200Z', '1'","Microsoft-Windows-Kernel-General","System.String[]","1","2015/11/14 17:01:32","2015/11/14 17:01:32","NT AUTHORITY\LOCAL SERVICE",,
"37","idea-PC","System.Byte[]","8583","(0)","0","Information","タイム プロバイダー NtpClient は現在 time.windows.com,0x9 (ntp.m|0x9|0.0.0.0:123->191.233.81.105:123) から有効な時間データを受信しています。","Microsoft-Windows-Time-Service","System.String[]","37","2015/11/14 17:01:25","2015/11/14 17:01:25","NT AUTHORITY\LOCAL SERVICE",,
"158","idea-PC","System.Byte[]","8582","(0)","0","Information","タイム プロバイダー 'VMICTimeProvider' は、現在のハードウェアおよび操作環境がサポートされないことを示して停止しました。非 HyperV ゲスト環境の VMICTimeProvider では、これは予期された動作です。現在のプロバイダーにとっても、これが現在の操作環境での予期された動作である場合があります。","Microsoft-Windows-Time-Service","System.String[]","158","2015/11/14 17:01:24","2015/11/14 17:01:24","NT AUTHORITY\LOCAL SERVICE",,
"7040","idea-PC","System.Byte[]","8581","(0)","0","Information","Windows Modules Installer サービスの開始の種類は 要求による開始 から 自動的な開始 に変更されました。","Service Control Manager","System.String[]","1073748864","2015/11/14 17:01:23","2015/11/14 17:01:23","NT AUTHORITY\SYSTEM",,
"7040","idea-PC","System.Byte[]","8580","(0)","0","Information","Windows Modules Installer サービスの開始の種類は 自動的な開始 から 要求による開始 に変更されました。","Service Control Manager","System.String[]","1073748864","2015/11/14 15:54:13","2015/11/14 15:54:13","NT AUTHORITY\SYSTEM",,
"7040","idea-PC","System.Byte[]","8579","(0)","0","Information","Windows Modules Installer サービスの開始の種類は 要求による開始 から 自動的な開始 に変更されました。","Service Control Manager","System.String[]","1073748864","2015/11/14 15:54:07","2015/11/14 15:54:07","NT AUTHORITY\SYSTEM",,
"1014","idea-PC","System.Byte[]","8578","(1014)","1014","Warning","名前 client.wns.windows.com の名前解決は、構成されたどの DNS サーバーからも応答がなく、タイムアウトしました。","Microsoft-Windows-DNS-Client","System.String[]","1014","2015/11/14 14:45:47","2015/11/14 14:45:47","NT AUTHORITY\NETWORK SERVICE",,
"23","idea-PC","System.Byte[]","8577","(1016)","1016","Information","NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)) is now operational.","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","23","2015/11/14 14:45:35","2015/11/14 14:45:35",,,
"21","idea-PC","System.Byte[]","8576","(1014)","1014","Information","Media connected on NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)).","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","21","2015/11/14 14:45:35","2015/11/14 14:45:35",,,
"24","idea-PC","System.Byte[]","8575","(1017)","1017","Information","NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)) is no longer operational.","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","24","2015/11/14 14:45:33","2015/11/14 14:45:33",,,
"22","idea-PC","System.Byte[]","8574","(1015)","1015","Warning","Media disconnected on NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)).","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","22","2015/11/14 14:45:33","2015/11/14 14:45:33",,,
"1014","idea-PC","System.Byte[]","8573","(1014)","1014","Warning","名前 ssl.gstatic.com の名前解決は、構成されたどの DNS サーバーからも応答がなく、タイムアウトしました。","Microsoft-Windows-DNS-Client","System.String[]","1014","2015/11/14 14:44:18","2015/11/14 14:44:18","NT AUTHORITY\NETWORK SERVICE",,
"7040","idea-PC","System.Byte[]","8572","(0)","0","Information","Windows Modules Installer サービスの開始の種類は 自動的な開始 から 要求による開始 に変更されました。","Service Control Manager","System.String[]","1073748864","2015/11/14 14:44:09","2015/11/14 14:44:09","NT AUTHORITY\SYSTEM",,
"1","idea-PC","System.Byte[]","8571","(0)","0","Information","システムは低電力状態から再開しました。

スリープ時間: 2015-11-14T05:37:20.118547900Z
スリープ解除時間: 2015-11-14T05:44:04.563373300Z

スリープ状態の解除元: 1","Microsoft-Windows-Power-Troubleshooter","System.String[]","1","2015/11/14 14:44:08","2015/11/14 14:44:08","NT AUTHORITY\LOCAL SERVICE",,
"23","idea-PC","System.Byte[]","8570","(1016)","1016","Information","NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)) is now operational.","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","23","2015/11/14 14:44:05","2015/11/14 14:44:05",,,
"21","idea-PC","System.Byte[]","8569","(1014)","1014","Information","Media connected on NIC /DEVICE/{716DBC02-B47F-4057-8054-398FBA4895D2} (Friendly Name: Qualcomm Atheros AR8172/8176/8178 PCI-E Fast Ethernet Controller (NDIS 6.30)).","Microsoft-Windows-Hyper-V-VmSwitch","System.String[]","21","2015/11/14 14:44:05","2015/11/14 14:44:05",,,
"131","idea-PC","System.Byte[]","8568","(33)","33","Information","ソース 'Microsoft-Windows-Kernel-Power' のイベント ID '131' の説明が見つかりません。必要なレジストリ情報またはメッセージを表示するメッセージ DLL ファイルがローカル コンピューターに存在しない可能性があります。または、これらのデータへのアクセス許可がユーザーに与えられていない可能性があります。次の情報はイベントの一部です:'1', '85', '85'","Microsoft-Windows-Kernel-Power","System.String[]","131","2015/11/14 14:44:04","2015/11/14 14:44:04",,,
